TITLE,LAT,LON,ICON,DESCRIPTION,CREDIT,LINK,URL,IMAGE,HTML
Gairloch Fuel,57.721591,-5.686608,fuel,,,,,,
The Old Gairloch Inn,57.712642,-5.676567,cafe,,,,,,
Farm and Garden Stores,57.727098,-5.690552,cafe,,,,,,
Toilets,57.728592,-5.691424,toilet,,,,,,
Oran-Na-Mara Café,57.834439,-5.575776,cafe,,,,,,
The Perfume Studio,57.864545,-5.639563,cafe,,,,,,
Laide Fuel,57.865017,-5.541854,fuel,,,,,,
Gruinard Beach,57.852328,-5.453848,attraction,,,,,,
Ullapool Fuel,57.896837,-5.153623,fuel,,,,,,
Seafood Shack,57.895781,-5.161643,restaurant,,,,,,
Toilets,57.895779,-5.161569,toilet,,,,,,
Toilets,57.33529,-4.480349,toilet,,,,,,
Toilets,57.249616,-4.490298,toilet,,,,,,
The Storehouse,57.640169,-4.348103,restaurant,,,,,,
Pitlochry Fuel,56.69751,-3.721488,fuel,,,,,,
Blair Atholl Distillery,56.69889,-3.723527,alcohol-shop,,,,,,
Edradour Distillery,56.701484,-3.701262,alcohol-shop,,,,,,
Tummel Bridge,56.707831,-4.023063,attraction,,,,,,
Rannoch Station Tearoom,56.685959,-4.57708,cafe,,,,,,
Riverbank Cafe,56.701051,-4.18673,cafe,,,,,,
Wee House of Glenshee,56.75544,-3.40375,restaurant,,,,,,
Devil's Elbow Viewpoint,56.864487,-3.413114,attraction,,,,,,
Glenshee Ski Centre,56.886602,-3.415149,cafe,,,,,,
Toilets,57.00553,-3.398591,toilet,,,,,,
Braemar Fuel,57.009563,-3.397403,fuel,,,,,,
Goodbrand & Ross Corgarff Strathdon,57.162361,-3.18516,cafe,,,,,,
Corgarff Viewpoint,57.17288,-3.235357,attraction,,,,,,
Viewpoint,57.190347,-3.238565,attraction,,,,,,
Lecht Ski School,57.200856,-3.248036,attraction,,,,,,
Lecht Mine,57.227805,-3.264372,attraction,,,,,,
Old Fire Station Tea Room,57.251125,-3.37859,cafe,,,,,,
Bridge of Brown Tearoom,57.267233,-3.456906,cafe,,,,,,
Grantown East: Highland Heritage & Cultural Centre,57.315888,-3.598074,attraction,,,https://grantowneast.com/,,,
Grantown on Spey Fuel,57.328948,-3.608739,fuel,,,,,,
Highland Lodge Estate,57.295063,-3.773714,lodging,,,https://www.highlandhideouts.co.uk/property/highland-lodge-estate/,,,
Carrbridge Kitchen,57.283249,-3.815392,cafe,,,,,,
Carrbridge Fuel,57.284128,-3.815602,fuel,,,,,,
Snowy River Lodge,57.283512,-3.831826,lodging,,,https://www.highlandhideouts.co.uk/property/snowy-river-lodge/,,,
Findhorn Bridge,57.324467,-3.987488,attraction,,,,,,
Camerons Tea Room & Farm Shop,57.245983,-4.486242,cafe,,,http://lochnesscottage.com/,,,
Viewpoint,57.142659,-4.652421,attraction,,,,,,
Fort Augustus Fuel,57.146024,-4.681354,fuel,,,,,,
Fort Augustus,57.144987,-4.680599,attraction,,,,,,
Fort Augustus Locks,57.144754,-4.68269,attraction,,,https://www.scottishcanals.co.uk/destinations/fort-augustus/,,,
Viewpoint,57.14666,-4.674738,attraction,,,,,,
Glen Rowan Cafe,57.215682,-4.620416,cafe,,,,,,
Viewpoint,57.147919,-5.014366,attraction,,,,,,
Cluanie Inn,57.156297,-5.182024,restaurant,,,,,,
Cluanie Inn Fuel,57.156268,-5.182512,fuel,,,,,,
Shielbridge Fuel,57.212286,-5.413694,fuel,,,,,,
Kintail Lodge Hotel,57.220388,-5.417504,lodging,,,,,,
Clachan Duich Bridge,57.232026,-5.403951,attraction,,,,,,
Inverinate Fuel,57.242222,-5.458037,fuel,,,,,,
Loch Duich Viewpoint,57.263133,-5.490756,attraction,,,,,,
Eilean Donan Viewpoint,57.275353,-5.510971,attraction,,,,,,
Eliean Donan Castle,57.273897,-5.51613,castle,,,,,,
Eilean Donan Cafe,57.27473,-5.513667,cafe,,,,,,
Manuela`s Wee Bakery,57.282618,-5.526873,attraction,,,,,,
Loch Alsh Viewpoint,57.281204,-5.697096,attraction,,,,,,
Lochalsch Fuel,57.281107,-5.711203,fuel,,,,,,
Toilets,57.28052,-5.715836,toilet,,,,,,
Skye Bridge,57.276571,-5.742429,attraction,,,,,,
Rest and be Thankful Viewpoint,56.2253779,-4.8562916,attraction,,,,,,
Arrochar Fuel,56.206186,-4.744027,fuel,,,,,,
Butter Bridge,56.245247,-4.851313,attraction,,,,,,
Dunfermline Abbey,56.0699608,-3.4631454,attraction,,,,,,
St Andrews Cathedral,56.339563,-2.788469,attraction,,,,,,
Cadenhead Whisky Shop,55.424639,-5.6059967,shop,,,,,,
Royal Mile Whiskies,55.9497157,-3.1917343,shop,,,,,,
Cadenhead Whisky Shop,55.951158,-3.180358,shop,,,,,,
The Real Mary King's Close,55.94992,-3.190506,attraction,,,,,,"Hidden streets from the 1600s below the Royal Mile, accompanied by tales from costumed guides."
Muthill Fuel,56.328905,-3.829432,fuel,,,,,,
Crieff Fuel,56.373323,-3.834712,fuel,,,,,,
Crieff,56.373049,-3.841088,attraction,,,,,,"Crieff is a Scottish market town in Perth and Kinross. It lies on the A85 road between Perth and Crianlarich, and the A822 between Greenloaning and Aberfeldy. The A822 joins the A823, which leads to Dunfermline. Crieff has become a hub for tourism, famous for its whisky and history of cattle droving.[Wikipedia]"
Blackness Castle,56.006092,-3.51601,castle,,,https://www.historicenvironment.scot/visit-a-place/places/blackness-castle/,,,
Whalligoe Steps,58.345547,-3.161647,attraction,,,,,,
Whalligoe Steps Cafe,58.34614,-3.16289,cafe,,,,,,
Duncansby Head,58.643923,-3.025147,attraction,,,,,,
Duncansby Stacks,58.632007,-3.034293,attraction,,,,,,
John o' Groats,58.643982,-3.070089,attraction,,,,,,
Dunnet Head,58.671185,-3.376405,attraction,,,,,,
Castle & Gardens of Mey,58.647052,-3.224759,castle,,,,,,
Mary Ann's Cottage,58.624564,-3.361028,attraction,,,,,,
Bettyhill Fuel,58.525341,-4.221853,fuel,,,,,,
Wick Fuel,58.451994,-3.09978,fuel,,,,,,
Noss Head,58.478973,-3.050988,attraction,,,,,,
